ID,Date,Name,Email,Gender,Salary,Dept_ID
101,11/23/2022,BD,BD@gmail.com,Male,16892,2
102,12/23/2022,BC,BC@gmail.com,Male,71054,6
103,1/23/2023,FD,FD@gmail.com,Female,76906,3
104,2/23/2023,FB,FB@gmail.com,Male,3035,4
105,3/23/2023,FD,FD@gmail.com,Female,62096,3
106,4/23/2023,FE,FE@gmail.com,Male,63974,3
107,5/23/2023,FD,FD@gmail.com,Male,8730,10
108,6/23/2023,EE,EE@gmail.com,Female,8823,1
109,7/23/2023,CE,CE@gmail.com,Male,21069,2
110,8/23/2023,AC,AC@gmail.com,Female,56113,7
111,9/23/2023,AF,AF@gmail.com,Female,7131,7
112,10/23/2023,AC,AC@gmail.com,Female,81651,1
113,11/23/2023,AA,AA@gmail.com,Female,74310,1
114,12/23/2023,AA,AA@gmail.com,Male,38166,9
115,1/23/2024,CE,CE@gmail.com,Male,67516,4
116,2/23/2024,CB,CB@gmail.com,Male,71811,5
117,3/23/2024,FF,FF@gmail.com,Female,21132,4
118,4/23/2024,AC,AC@gmail.com,Male,4532,10
119,5/23/2024,BE,BE@gmail.com,Male,71263,7
120,6/23/2024,CB,CB@gmail.com,Male,31760,4
